Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
Necrotic Grip,2780717641,"""6917529854207178989""",,Exotic,Gauntlets,lostsectors,Warlock,1600,,9,Vault,true,false,4,12,,2,10,21,20,6,7,66,51,2,10,21,20,6,7,66,51,, - Necrotic Grips - ,high recovery + high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Replicate Exploit*,Grasp of the Devourer*,,,,,
Gwisin Vest,1474735276,"""6917529203513476750""",,Exotic,Chest Armor,,Hunter,1600,,1,Vault,false,false,2,4,,11,13,11,8,16,7,66,43,11,13,11,8,16,7,66,43,,,"#void, #pvp",Upgrade Armor*,*,*,*,*,Roving Assassin*,,,,,,,
Tethering Void,1418191157,"""6917529871124785423""",infuse,Legendary,Warlock Bond,,Warlock,1783,,2,Vault,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Upgrade Armor*,,,,,,,,,,,,
Resonant Fury Cloak,4124357755,"""6917529813656770248""",,Legendary,Hunter Cloak,votd,Hunter,1600,,5,Vault,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vowofthedisciple,,#raid,Upgrade Armor*,,,,,,,,,,,,
Resonant Fury Greaves,365727964,"""6917529674978966501""",,Legendary,Leg Armor,votd,Titan,1600,,10,Vault,true,false,5,16,,4,11,23,16,12,8,74,44,2,9,21,14,10,6,62,44,vowofthedisciple,,"#raid #pve, high recovery",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Kairos Function Greaves*,,,,,,
Torobatl Celebration Mask,64566999,"""6917529871949047600""",infuse,Legendary,Helmet,tangled,Titan,1762,,1,Vault,false,false,4,12,,2,11,13,6,2,20,54,30,2,11,13,6,2,20,54,30,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Kerak Type 2,623912054,"""6917529370035686911""",,Legendary,Leg Armor,legendaryengram,Titan,1600,,10,Vault,true,false,4,12,,4,4,29,16,10,11,74,43,2,2,27,14,8,9,62,43,,"Crest of Alpha Lupi Arc - , Aeons,  - Heart of Inmost Light Solar - ","#pve, high recovery",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Kabr's Forceful Greaves*,,,,,,
Holdfast Vest,2930001572,"""6917529203513473650""",junk,Legendary,Chest Armor,seasonpass,Hunter,1600,,10,Vault,false,false,3,11,,4,4,30,10,12,14,74,40,2,2,28,8,10,12,62,40,,"PvP Bakris - , PvP Stompees","#pvp, high recovery",Bloody Tooth*,Upgrade Armor*,*,*,*,*,Vest of the Great Hunt*,,,,,,
Viperidax Gloves,4238378141,"""6917529871098570940""",infuse,Legendary,Gauntlets,drifter,Warlock,1783,,2,Vault,false,false,5,16,,7,17,2,8,18,2,54,27,7,17,2,8,18,2,54,27,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Stronghold,2240152949,"""6917529263492389196""",,Exotic,Gauntlets,,Titan,1600,,5,Vault,true,false,2,6,,2,12,16,2,17,10,59,30,2,12,16,2,17,10,59,30,, - Strongholds - ,"#neutral, #endgame #pve, high recovery + high intellect",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Otto's Resolve*,Clenched Fist*,,,,,
Retro-Grade TG2,3809138207,"""6917529871974300960""",infuse,Legendary,Gauntlets,legendaryengram,Titan,1773,,1,Vault,false,false,4,15,,7,14,8,12,9,8,58,34,7,14,8,12,9,8,58,34,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Eidolon Pursuant Greaves,1795075811,"""6917529804395101100""",,Legendary,Leg Armor,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,25,8,28,4,4,73,55,2,23,6,26,2,2,61,55,,,high resilience + high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529795817650676""",,Legendary,Leg Armor,psiops,Titan,1600,,10,Vault,true,false,5,16,,4,14,20,17,17,4,76,45,2,12,18,15,15,2,64,45,,"Doomfangs - , Ursas - ,  - Helm of Saint XIV - ","#pve, high total",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Thunderous Impact Greaves*,,,,,,
Helm of Saint-14,106575079,"""6917529216340262790""",,Exotic,Helmet,,Titan,1600,,10,Vault,true,false,1,2,,4,9,25,22,10,4,74,50,2,7,23,20,8,2,62,50,, - Helm of Saint XIV - ,"#void, #endgame/#raid #pve, high recovery + high discipline",Tyrian Abyss*,Upgrade Armor*,*,*,*,*,The Fourteenth Anamnesis*,Starless Night*,,,,,
Stormdancer's Brace,1996008488,"""6917529405374123155""",,Exotic,Chest Armor,campaign,Warlock,1600,,9,Vault,true,false,3,8,,15,2,14,6,22,2,61,22,15,2,14,6,22,2,61,22,,Stormdancers - ,"#arc, #casual #pve",Metro Shift*,Upgrade Armor*,*,*,*,*,Induction Ceremony*,Ascending Amplitude*,,,,,
Lost Pacific Strides,2672840191,"""6917529807391283017""",archive,Legendary,Leg Armor,,Hunter,1600,,1,Vault,true,false,4,15,,2,2,30,9,18,2,63,43,2,2,30,9,18,2,63,43,,,"#pvp, high recovery + high intellect",Upgrade Armor*,*,*,*,*,,,,,,,,
Astrocyte Verse,3948284065,"""6917529163640395415""",,Exotic,Helmet,,Warlock,1600,,10,Vault,true,false,2,7,,9,8,18,23,10,4,72,43,7,6,16,21,8,2,60,43,,PvP Astrocyte - ,"#void, #pvp",Calus's Treasured*,Upgrade Armor*,*,*,*,*,Move to Survive*,,,,,,
Lightkin Mask,30472172,"""6917529393604141604""",archive,Legendary,Helmet,servitor,Hunter,1600,,10,Vault,true,false,4,14,,9,4,23,10,18,8,72,38,7,2,21,8,16,6,60,38,,"PvP Dragon's Shadow, PvP Stompees","#pvp, high recovery + high intellect",Horizon Blush*,Upgrade Armor*,*,*,*,*,,,,,,,
Solstice Plate (Magnificent),3654315694,"""6917529200977106487""",,Legendary,Chest Armor,events,Titan,1600,,10,Vault,true,false,3,11,Solstice,10,10,17,21,4,12,74,42,8,8,15,19,2,10,62,42,, - Strongholds - ,"#pve, high discipline",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,,,,,,,
Phoenix Protocol,4057299719,"""6917529387360943675""",junk,Exotic,Chest Armor,,Warlock,1600,,10,Vault,false,false,2,4,,11,4,25,9,20,9,78,32,9,2,23,7,18,7,66,32,,,"#solar, #endgame/#raid #pve",Vintage Timber*,Upgrade Armor*,*,*,*,*,Phoenixfall*,Battle-Hearth*,,,,,
Phoenix's Fire,3628145148,"""6917529335502587025""",,Legendary,Warlock Bond,events,Warlock,1600,,10,Vault,true,false,4,13,Guardian Games,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,," - Contraverse Holds - ,  - Nezarec's Sin - ,  - Necrotic Grips - ,  - Eye of Another World",#pve,Malachite Gold*,Upgrade Armor*,Friendly Competition*,,,,,,,,,,
Icarus Drifter Grips,3239215026,"""6917529478784186895""",archive,Legendary,Gauntlets,legendaryengram,Hunter,1600,,10,Vault,true,false,3,11,,9,4,25,4,23,9,74,34,7,2,23,2,21,7,62,34,, - Orpheus Rigs - ,"#pve, high recovery + high intellect",Deprecated Armor Mod*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Epialos Following Grasps*,,,,,
Retro-Grade TG2,3809138207,"""6917529871980380787""",infuse,Legendary,Gauntlets,legendaryengram,Titan,1775,,3,Vault,false,false,4,15,,14,10,2,13,6,7,52,25,14,10,2,13,6,7,52,25,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
High-Minded Complex,3689406239,"""6917529871138337585""",infuse,Legendary,Leg Armor,legendaryengram,Warlock,1785,,3,Vault,false,false,4,15,,6,17,2,10,8,6,49,29,6,17,2,10,8,6,49,29,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Devastation Complex,385985080,"""6917529871967619137""",infuse,Legendary,Chest Armor,legendaryengram,Titan,1774,,1,Vault,false,false,4,15,,2,16,12,7,7,12,56,35,2,16,12,7,7,12,56,35,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Aeon Soul,2950045886,"""6917529263403445733""",junk,Exotic,Gauntlets,,Warlock,1600,,10,Vault,false,false,1,2,,16,6,19,19,8,8,76,38,14,4,17,17,6,6,64,38,,,"#neutral #stasis, #endgame #pve",Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Sect of Insight*,,,,,,
Khepri's Horn,2384488862,"""6917529856633266708""",,Exotic,Helmet,,Titan,1600,,2,Vault,false,false,1,2,,6,17,8,18,6,9,64,43,6,17,8,18,6,9,64,43,,,,Upgrade Armor*,*,*,*,*,Solar Rampart*,,,,,,,
Ursa Furiosa,1848640623,"""6917529798207742184""",,Exotic,Gauntlets,,Titan,1600,,10,Vault,true,false,2,4,,8,26,4,14,21,4,77,38,6,24,2,12,19,2,65,38,,,"#void, #endgame #pve",Upgrade Armor*,*,*,*,*,Ursine Guard*,,,,,,,
Vest of the Great Hunt,2868042232,"""6917529199659753540""",junk,Legendary,Chest Armor,lastwish,Hunter,1600,,10,Vault,false,false,3,11,,17,9,10,4,14,19,73,32,15,7,8,2,12,17,61,32,lastwish,,keep for taken mods,Bloody Tooth*,Upgrade Armor*,*,*,*,*,,,,,,,
Liar's Handshake,4165919945,"""6917529427882293514""",,Exotic,Gauntlets,,Hunter,1600,,7,Vault,true,false,2,6,,22,2,12,2,21,10,69,38,22,2,12,2,21,10,69,38,,,"#arc, #pve, high mobility + high intellect",Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Thalia's Reach*,Cross Counter*,,,,,
Tread of the Hezen Lords,170603856,"""6917529428586363524""",,Legendary,Leg Armor,vaultofglass,Warlock,1600,,10,Vault,true,false,4,14,,4,4,26,12,22,4,72,36,2,2,24,10,20,2,60,36,vaultofglass, - Eye of Another World,"#pvp, #raid, high recovery + high intellect",Royal Welcome*,Upgrade Armor*,*,*,*,*,,,,,,,
Dead End Cure 2.1,3064716714,"""6917529870565962620""",infuse,Legendary,Helmet,legendaryengram,Hunter,1741,,3,Vault,false,false,4,15,,2,16,8,9,10,7,52,35,2,16,8,9,10,7,52,35,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Mask of the Quiet One,3883866764,"""6917529805038875611""",,Exotic,Helmet,,Titan,1600,,10,Vault,false,false,1,1,,10,21,9,22,12,4,78,46,8,19,7,20,10,2,66,46,,,replace masterworked version,Carminica*,Upgrade Armor*,*,*,*,*,Thanatonaut's Peril*,Dreaded Visage*,,,,,
Eidolon Pursuant Helm,527342912,"""6917529804387537165""",,Legendary,Helmet,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,23,12,18,14,4,75,47,2,21,10,16,12,2,63,47,,,high resilience + high total,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Knucklehead Radar,1321354572,"""6917529537701279277""",,Exotic,Helmet,,Hunter,1600,,3,Vault,true,false,1,1,,3,3,30,2,13,16,67,38,3,3,30,2,13,16,67,38,,,"#neutral, #pvp, high recovery",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Upgraded Sensor Pack*,,,,,,
Prime Zealot Cuirass,1133961267,"""6917529374314742673""",junk,Legendary,Chest Armor,vaultofglass,Hunter,1600,,10,Vault,false,false,4,14,,8,4,25,4,18,15,74,33,6,2,23,2,16,13,62,33,vaultofglass,Stompees,"#pve #raid, high recovery + high intellect",Carminica*,Upgrade Armor*,*,*,*,*,Celestial Cuirass*,,,,,,
Road Complex AA1,3671791220,"""6917529870600062363""",infuse,Legendary,Gauntlets,legendaryengram,Hunter,1761,,2,Vault,false,false,4,15,,6,13,6,13,12,2,52,38,6,13,6,13,12,2,52,38,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Crystocrene Bond,3852725203,"""6917529856049647000""",archive,Legendary,Warlock Bond,europa,Warlock,1600,,1,Vault,true,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Upgrade Armor*,,,,,,,,,,,,
No Backup Plans,3267996858,"""6917529854983852603""",,Exotic,Gauntlets,lostsectors,Titan,1600,,1,Vault,false,false,4,15,,17,13,2,2,24,7,65,17,17,13,2,2,24,7,65,17,,,"#void #pvp, high intellect",Upgrade Armor*,*,*,*,*,Piezoelectric Stratagem*,Force Multiplier*,,,,,,
Renewal Grasps,2169905051,"""6917529854978756686""",,Exotic,Gauntlets,lostsectors,Hunter,1600,,3,Vault,false,false,5,16,,6,17,7,6,10,15,61,36,6,17,7,6,10,15,61,36,,Renewal Grasps - ,"#stasis, #endgame #pve",Upgrade Armor*,*,*,*,*,Depths of Duskfield*,,,,,,,
Atavistic Idol Vest,2355943840,"""6917529792904285766""",,Legendary,Chest Armor,trials,Hunter,1600,,4,Vault,true,false,5,17,,10,8,14,14,17,2,65,46,10,8,14,14,17,2,65,46,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Deep Explorer Boots,2819810688,"""6917529804409271596""",archive,Legendary,Leg Armor,duality,Warlock,1600,,5,Vault,true,false,5,17,,2,12,20,2,26,2,64,34,2,12,20,2,26,2,64,34,artifice,,high recovery + high intellect,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Hallowfire Heart,1192890598,"""6917529818246190164""",,Exotic,Chest Armor,,Titan,1600,,1,Vault,true,false,1,1,,4,20,10,23,2,7,66,53,4,20,10,23,2,7,66,53,,,"#solar, #casual #pve",Upgrade Armor*,*,*,*,*,Sunfire Furnace*,,,,,,,
Prodigal Greaves,1018704301,"""6917529871955212461""",infuse,Legendary,Leg Armor,legendaryengram,Titan,1772,,4,Vault,false,false,4,15,,2,16,12,12,8,6,56,40,2,16,12,12,8,6,56,40,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Eidolon Pursuant Plate,2288543943,"""6917529811432705200""",,Legendary,Chest Armor,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,9,25,18,18,4,78,46,2,7,23,16,16,2,66,46,,,"high recovery, replace id:6917529200982161158",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Phenotype Plasticity Plate*,Visage of the Reaper*,,,,,
Kerak Type 2,623912054,"""6917529872010316918""",infuse,Legendary,Leg Armor,legendaryengram,Titan,1778,,2,Vault,false,false,4,12,,2,17,7,6,2,18,52,30,2,17,7,6,2,18,52,30,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Prodigal Robes,571127634,"""6917529872087517735""",infuse,Legendary,Chest Armor,legendaryengram,Warlock,1784,,2,Vault,false,false,4,15,,10,11,7,6,6,12,52,24,10,11,7,6,6,12,52,24,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
War Mantis,803939997,"""6917529479817496061""",,Rare,Gauntlets,campaign,Hunter,1600,,5,Vault,true,false,2,4,,14,8,28,0,0,0,50,50,14,8,28,0,0,0,50,50,,,high recovery,Upgrade Armor*,*,*,*,*,,,,,,,,
Tusked Allegiance Gauntlets,187431790,"""6917529795810794406""",,Legendary,Gauntlets,psiops,Titan,1600,,3,Vault,false,false,5,16,,2,12,18,15,10,7,64,45,2,12,18,15,10,7,64,45,,,replace id:6917529353289756034,Upgrade Armor*,*,*,*,*,,,,,,,,
High-Minded Complex,1365254141,"""6917529872055929317""",infuse,Legendary,Gauntlets,legendaryengram,Warlock,1787,,3,Vault,false,false,4,15,,2,10,12,14,6,7,51,36,2,10,12,14,6,7,51,36,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
An Insurmountable Skullfort,3216110440,"""6917529204270003820""",,Exotic,Helmet,,Titan,1600,,9,Vault,true,false,1,1,,8,8,17,14,13,2,62,39,8,8,17,14,13,2,62,39,,,"#arc, #casual #pve",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Electronic Mindcage*,Transfusion Matrix*,,,,,
Deep Explorer Greaves,2649394513,"""6917529804444665193""",,Legendary,Leg Armor,duality,Titan,1600,,10,Vault,true,false,5,17,,12,22,4,23,12,4,77,43,10,20,2,21,10,2,65,43,artifice,,"high resilience + high discipline, id:6917529804444665193 is better, but this has an artifice slot",Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Wild Hunt Grasps,2025716654,"""6917529826853576280""",,Legendary,Gauntlets,seasonpass,Hunter,1600,,10,Vault,true,false,4,12,,8,26,4,20,4,11,73,50,6,24,2,18,2,9,61,50,, - Celestial Nighthawk - ,high resilience + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Legacy's Oath Vest,4001862073,"""6917529210633207191""",,Legendary,Chest Armor,deepstonecrypt,Hunter,1600,,10,Vault,true,false,4,12,,8,8,22,13,14,8,73,43,6,6,20,11,12,6,61,43,deepstonecrypt,,high recovery,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Sun's Apex Vest*,,,,,,
Tangled Web Hood,4113317396,"""6917529872098350450""",infuse,Legendary,Helmet,legendaryengram,Warlock,1785,,1,Vault,false,false,4,15,,8,10,6,7,12,8,51,23,8,10,6,7,12,8,51,23,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Deep Explorer Gauntlets,2616310259,"""6917529796101935371""",,Legendary,Gauntlets,duality,Titan,1600,,2,Vault,false,false,5,17,,2,16,13,14,2,15,62,43,2,16,13,14,2,15,62,43,,Crest of Alpha Lupi Arc - ,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Eidolon Pursuant Veil,217647949,"""6917529799356497335""",archive,Legendary,Helmet,haunted,Warlock,1600,,2,Vault,true,false,5,17,,2,27,2,2,26,2,61,31,2,27,2,2,26,2,61,31,,,"high resilience + high intellect, if intellect becomes useful the stat total is insane",Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Lightkin Vest,3436655867,"""6917529482216462124""",,Legendary,Chest Armor,servitor,Hunter,1600,,10,Vault,true,false,4,14,,8,8,22,8,26,4,76,38,6,6,20,6,24,2,64,38,, - Orpheus Rigs - ,"#pvp, high recovery + high intellect",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Epialos Following Vest*,,,,,,
Dawn Chorus,2316914168,"""6917529496856083417""",,Exotic,Helmet,lostsectors,Warlock,1600,,9,Vault,true,false,4,12,,10,8,13,2,29,2,64,23,10,8,13,2,29,2,64,23,, - Dawn Chorus - ,"#solar, #casual #pve, high intellect, lots of additional scorch, but starfire is just so good. Have to come back to it",Upgrade Armor*,*,*,*,*,Rites of Ember*,,,,,,,
Deep Explorer Vestments,2057955626,"""6917529779728816594""",,Legendary,Chest Armor,duality,Warlock,1600,,1,Vault,true,false,5,17,,2,27,2,12,16,2,61,41,2,27,2,12,16,2,61,41,artifice,,high resilience,Royal Treatment*,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,
Mouth of Ur,1537426592,"""6917529812184400612""",,Legendary,Helmet,kf,Warlock,1600,,2,Vault,true,false,5,18,,6,24,2,19,12,2,65,45,6,24,2,19,12,2,65,45,kingsfall,,"#raid until better, high resilience",Upgrade Armor*,*,*,*,*,,,,,,,,
TM-Moss Custom Duster,3185363346,"""6917529854494588147""",,Legendary,Chest Armor,dungeon,Warlock,1600,,10,Vault,false,false,5,19,,4,9,24,24,4,10,75,51,2,7,22,22,2,8,63,51,,,high recovery + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Peregrine Greaves,2255796155,"""6917529200117504995""",,Exotic,Leg Armor,,Titan,1600,,3,Vault,true,false,2,7,,15,3,14,7,17,8,64,24,15,3,14,7,17,8,64,24,,,"#neutral, #pvp",Crimson Valor*,Upgrade Armor*,*,,*,*,*,Peregrine Strike*,,,,,
Lion's Pride,3371868783,"""6917529348444508922""",,Legendary,Titan Mark,events,Titan,1600,,1,Vault,true,false,4,13,Guardian Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"#pvp, make arc",Upgrade Armor*,Friendly Competition*,,,,,,,,,,,
Hood of the Great Hunt,1350126011,"""6917529871147298472""",,Legendary,Helmet,lastwish,Warlock,1790,,2,Vault,false,false,4,12,,2,19,12,24,6,2,65,55,2,19,12,24,6,2,65,55,lastwish,,"high total, #solo mw",Upgrade Armor*,*,*,*,*,,,,,,,,
Sunstead Mark (Magnificent),468456841,"""6917529407445158631""",,Legendary,Titan Mark,events,Titan,1600,,4,Vault,true,false,4,14,Solstice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,solstice,Honors of the Nine*,Upgrade Armor*,,,,,,,,,,,
Cobra's Hood,539974843,"""6917529350236083694""",,Legendary,Hunter Cloak,events,Hunter,1600,,1,Vault,true,false,4,13,Guardian Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Rustberry*,Upgrade Armor*,Friendly Competition*,,,,,,,,,,
Sage Rivalry Bond,3365248655,"""6917529179857656252""",,Legendary,Warlock Bond,events,Warlock,1600,,10,Vault,true,false,3,10,Guardian Games,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,,,#pvp,Spirit of Competition*,Dawning Celebration*,Upgrade Armor*,,,,,,,,,,
Tusked Allegiance Mask,2516879931,"""6917529855306235564""",,Legendary,Helmet,psiops,Hunter,1600,,10,Vault,false,false,5,16,,4,24,11,18,15,4,76,49,2,22,9,16,13,2,64,49,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Wild Hunt Vest,1458739906,"""6917529855387577812""",,Legendary,Chest Armor,seasonpass,Hunter,1600,,1,Vault,false,false,4,12,,12,2,17,22,2,9,64,53,12,2,17,22,2,9,64,53,,,"#pvp, #mw",Upgrade Armor*,*,*,*,*,,,,,,,,
Eidolon Pursuant Handguards,2489136103,"""6917529781850849228""",,Legendary,Gauntlets,haunted,Hunter,1600,,10,Vault,true,false,5,17,,4,8,26,26,4,9,77,56,2,6,24,24,2,7,65,56,,,high recovery + high discipline,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Red Moon Phantom Mask,1395001913,"""6917529870593791994""",infuse,Legendary,Helmet,legendaryengram,Hunter,1769,,2,Vault,false,false,4,13,,6,10,6,6,7,12,47,28,6,10,6,6,7,12,47,28,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Sanguine Alchemy,3070555693,"""6917529423686959029""",,Exotic,Chest Armor,,Warlock,1600,,9,Vault,false,false,1,3,,8,3,24,13,15,2,65,40,8,3,24,13,15,2,65,40,,,"#neutral, #pve, only useful for afk farming",Basalt Toxic*,Upgrade Armor*,*,*,*,*,Blood Magic*,,,,,,
Frumious Vest,2392018715,"""6917529870600070467""",infuse,Legendary,Chest Armor,ikora,Hunter,1766,,1,Vault,false,false,4,12,,2,15,10,17,2,8,54,44,2,15,10,17,2,8,54,44,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Red Moon Phantom Steps,1649776522,"""6917529870618381711""",infuse,Legendary,Leg Armor,legendaryengram,Hunter,1768,,1,Vault,false,false,4,13,,8,12,6,2,7,19,54,28,8,12,6,2,7,19,54,28,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Tesseract Trace IV,695071581,"""6917529870565966876""",infuse,Legendary,Chest Armor,legendaryengram,Warlock,1781,,1,Vault,false,false,3,11,,7,17,2,7,13,6,52,26,7,17,2,7,13,6,52,26,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Dreamer's Mark,2426340790,"""6917529194229609670""",archive,Common,Titan Mark,campaign,Titan,21,,5,Vault,true,false,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Upgrade Armor*,,,,,,,,,,,,
Eidolon Pursuant Mask,1285042454,"""6917529842940852471""",,Legendary,Helmet,haunted,Hunter,1600,,3,Vault,false,false,5,17,,16,2,16,9,15,6,64,43,16,2,16,9,15,6,64,43,,,"high total, #pvp",Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
The Shelter in Place,1276048857,"""6917529792624017635""",,Legendary,Chest Armor,strikes,Titan,1600,,5,Vault,true,false,3,10,,6,16,12,16,2,12,64,44,6,16,12,16,2,12,64,44,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Path of Xol,3229616835,"""6917529824491202580""",,Legendary,Leg Armor,kf,Warlock,1600,,1,Vault,true,false,5,18,,13,2,16,22,8,2,63,40,13,2,16,22,8,2,63,40,kingsfall,,#raid,Upgrade Armor*,*,*,*,*,,,,,,,,
Gloves of the Great Hunt,2850984298,"""6917529871147292825""",infuse,Legendary,Gauntlets,lastwish,Warlock,1785,,5,Vault,false,false,4,12,,6,17,10,12,9,10,64,39,6,17,10,12,9,10,64,39,lastwish,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Wild Hunt Plate,3351935136,"""6917529292583541462""",archive,Legendary,Chest Armor,seasonpass,Titan,1600,,10,Vault,true,false,4,12,,8,10,21,9,22,8,78,34,6,8,19,7,20,6,66,34,, - PvP One Eyed Mask,"#pvp, high recovery + high intellect",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Technosaurus Plate*,,,,,,
Raiden Flux,2766109872,"""6917529443803672834""",,Exotic,Chest Armor,,Hunter,1600,,1,Vault,true,false,1,1,,4,11,20,2,20,10,67,37,4,11,20,2,20,10,67,37,,,"#arc, #pve, high recovery + high intellect",Valkyrie Zero*,Upgrade Armor*,*,,*,,*,*,Nano Redux*,Synapse Junctions*,,,
War Mantis,803939997,"""6917529142491077973""",,Rare,Gauntlets,campaign,Hunter,1600,,10,Vault,true,false,2,4,,14,6,35,2,2,2,61,49,12,4,33,0,0,0,49,49,,,hgih mobility + high recovery,Mercurian Sunrise*,Upgrade Armor*,*,*,*,*,,,,,,,
Dead End Cure 2.1,2805231813,"""6917529870646068690""",infuse,Legendary,Leg Armor,legendaryengram,Hunter,1775,,1,Vault,false,false,4,15,,2,25,2,2,17,10,58,31,2,25,2,2,17,10,58,31,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Iron Companion Gloves,357179927,"""6917529851751065515""",,Legendary,Gauntlets,ironbanner,Warlock,1600,,1,Vault,true,false,5,19,,2,2,28,13,10,8,63,43,2,2,28,13,10,8,63,43,,,"high recovery, #pvp",Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,,,
Celestial Nighthawk,1321354573,"""6917529856352791557""",,Exotic,Helmet,,Hunter,1600,,10,Vault,true,false,1,1,,5,29,8,12,15,10,79,46,3,27,6,10,13,8,67,46,, - Celestial Nighthawk - ,"#solar #endgame #pve, high resilience",Upgrade Armor*,*,*,*,*,Hawkeye Hack*,,,,,,,
Geomag Stabilizers,121305948,"""6917529293211251210""",,Exotic,Leg Armor,,Warlock,1600,,10,Vault,true,false,2,4,,9,11,18,15,13,8,74,38,7,9,16,13,11,6,62,38,,,"#arc, #pve",Melchizedek Bramble*,Upgrade Armor*,*,*,*,*,Alternate Conduction*,Close Enough*,,,,,
Kairos Function Grips,1193359281,"""6917529746094485180""",,Legendary,Gauntlets,,Hunter,1600,,10,Vault,true,false,4,15,,17,4,17,27,4,8,77,57,15,2,15,25,2,6,65,57,,,high total + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Candescent Gauntlets,1068450901,"""6917529805016779547""",archive,Legendary,Gauntlets,events,Titan,1600,,10,Vault,true,false,5,17,Solstice,4,22,14,4,30,4,78,34,2,20,12,2,28,2,66,34,,,high resilience + high intellect,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Epialos Following Gauntlets*,,,,,,
