Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Foetracer,896224899,"""6917529899756498335""",,Exotic,Helmet,,Hunter,1810,,10,Hunter(1824),true,false,1,1,,26,18,8,26,4,8,90,14,16,6,24,2,6,68,Foetracer,high total,Relentless Tracker*,Mobility Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Special Ammo Finder*,Erebos Glance*,War Painted*,,,,
The Stag,2177524718,"""6917529900221522225""",infuse,Exotic,Helmet,,Warlock,1810,,1,Vault,false,false,1,2,,6,8,20,9,16,7,66,6,8,20,9,16,7,66,,,Dearly Departed*,,,,,,,,,,
Necrotic Grip,2780717641,"""6917529900235681969""",infuse,Exotic,Gauntlets,lostsectors,Warlock,1810,,1,Vault,false,false,4,12,,2,14,16,10,20,2,64,2,14,16,10,20,2,64,,,Grasp of the Devourer*,,,,,,,,,,
Eye of Another World,3381022970,"""6917529900241725550""",,Exotic,Helmet,,Warlock,1810,,10,Vault,true,false,1,1,,4,12,29,17,4,17,83,2,10,22,15,2,15,66, - Eye of Another World - ,"#neutral, #pvp, #endgame #pve, interacts well with #stasis and #strand and surpasses ability cooldown caps",Cerebral Uplink*,Minor Recovery Mod*,Special Ammo Scout*,Arc Siphon*,Void Siphon*,Gambit Nephrite*,Gaze beyond Worlds*,,,,
Winter's Guile,3844826443,"""6917529900409084037""",,Exotic,Gauntlets,,Warlock,1810,,3,Vault,false,false,1,1,,2,8,24,15,14,2,65,2,8,24,15,14,2,65,,#casual #pve,Warlord's Sigil*,,,,,,,,,,
Verity's Brow,2428181146,"""6917529900502030656""",,Exotic,Helmet,,Warlock,1810,,10,Warlock(1824),true,false,1,3,,4,23,17,17,4,15,80,2,21,10,15,2,13,63,Verity's Brow - ,"#neutral, #raid/#casual #pve",The Fourth Magic*,Minor Recovery Mod*,Harmonic Siphon*,Ashes to Assets*,Special Ammo Finder*,Erebos Glance*,,,,,
Corrupting Echo Cover,3171090615,"""6917529901216320303""",,Legendary,Helmet,30th,Warlock,1800,,10,Warlock(1824),true,false,4,15,,4,22,17,22,17,4,86,2,20,10,20,12,2,66,"Rain of Fire - , Secant Filaments - , Void, Delta",high total,Artifice Armor*,Minor Recovery Mod*,Harmonic Siphon*,Ashes to Assets*,Special Ammo Finder*,Intellect-Forged*,Luminous Void*,Solstice Hood (Magnificent)*,,,
Corrupting Echo Gloves,2244604734,"""6917529901252045662""",,Legendary,Gauntlets,30th,Warlock,1800,,10,Warlock(1824),true,false,4,15,,4,26,8,9,4,35,86,2,24,6,2,2,30,66,"Phoenix Protocol - ,  - PvP Astrocyte - , Weavewalker - , Nightfall",high resilience + high strength,Artifice Armor*,Minor Discipline Mod*,Impact Induction*,Firepower*,Heavy Handed*,Strength-Forged*,Sinking Feeling*,Solstice Gloves (Majestic)*,,,
Corrupting Echo Cover,3171090615,"""6917529901263367391""",,Legendary,Helmet,30th,Warlock,1800,,10,Vault,false,false,4,15,,11,10,18,31,4,4,78,9,8,16,29,2,2,66,,high disipline,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Robes,3048458482,"""6917529901263369642""",,Legendary,Chest Armor,30th,Warlock,1800,,10,Vault,true,false,4,15,,8,25,4,4,4,32,77,6,23,2,2,2,30,65,,high resilience + high strength,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Boots,2663987096,"""6917529901267238309""",,Legendary,Leg Armor,30th,Warlock,1800,,10,Warlock(1824),true,false,4,15,,11,4,24,31,8,4,82,9,2,22,26,6,2,67," - PvP Stag - ,  - PvP Astrocyte - ",high recovery + high discipline,Artifice Armor*,Solar Scavenger*,Solar Scavenger*,Solar Scavenger*,Discipline-Forged*,,,,,,
Corrupting Echo Cover,3171090615,"""6917529901272187652""",,Legendary,Helmet,30th,Warlock,1810,,10,Warlock(1824),true,false,4,15,,4,24,19,25,10,4,86,2,22,9,23,8,2,66,"Weavewalker - , Vesper of Radius - , Sunbracers - , Stasis, Nightfall, Arc","high resilience + high discipline, #pve",Artifice Armor*,Minor Recovery Mod*,Harmonic Siphon*,Ashes to Assets*,Dynamo*,Recovery-Forged*,Irradiant Charoite*,Opulent Strix Hood*,,,
Corrupting Echo Robes,3048458482,"""6917529902533296573""",,Legendary,Chest Armor,30th,Warlock,1800,,10,Vault,true,false,4,15,,4,4,29,23,4,12,76,2,2,27,21,2,10,64, - PvP Astrocyte - ,"high recovery + high discipline, #pvp",Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Gloves,2244604734,"""6917529902655578716""",,Legendary,Gauntlets,30th,Warlock,1800,,10,Vault,false,false,4,15,,4,31,4,28,4,4,75,2,29,2,26,2,2,63,,high resilience + high discipline,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Gloves,2244604734,"""6917529902663658944""",,Legendary,Gauntlets,30th,Warlock,1800,,10,Vault,false,false,4,15,,11,4,24,25,10,4,78,9,2,22,23,8,2,66,,high recovery + high discipline,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Gloves,2244604734,"""6917529902667805705""",,Legendary,Gauntlets,30th,Warlock,1800,,10,Vault,false,false,4,15,,10,18,11,28,4,8,79,8,16,9,26,2,6,67,,high discipline,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Boots,2663987096,"""6917529902667805919""",,Legendary,Leg Armor,30th,Warlock,1800,,10,Vault,false,false,4,15,,9,18,12,25,4,8,76,7,16,10,23,2,6,64,,high total,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Cover,3171090615,"""6917529902667808318""",,Legendary,Helmet,30th,Warlock,1800,,10,Warlock(1824),true,true,4,15,,4,25,9,36,4,12,90,2,23,7,21,2,10,65,"Osmiomancy - , Starfire Protocol - ,  - Chromatic Fire - ,  - Aeons - , Necrotic Grips - , Solar, Strand, Gambit","#pve, high resilience + high discipline",Artifice Armor*,Discipline Mod*,Harmonic Siphon*,Dynamo*,Heavy Ammo Finder*,Discipline-Forged*,Valkyrie Zero*,Skybreaker Hood*,,,
Corrupting Echo Cover,3171090615,"""6917529902667810234""",,Legendary,Helmet,30th,Warlock,1800,,9,Vault,false,false,4,15,,10,2,21,21,9,2,65,10,2,21,21,9,2,65,,high recovery + high discipline,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Corrupting Echo Gloves,2244604734,"""6917529902672456301""",,Legendary,Gauntlets,30th,Warlock,1810,,10,Warlock(1824),true,true,4,15,,4,40,4,25,9,4,86,2,30,2,23,7,2,66,"Xenomorph - , Rain of Fire - , Starfire Protocol - , Stag PvE - ,  - Eye of Another World - ,  - Chromatic Fire - , Vesper of Radius - ,  - Fallen Sunstar - , Solar, Delta, Dungeon, Raid, Arc","#pve, high resilience + high discipline",Artifice Armor*,Minor Resilience Mod*,Firepower*,Heavy Handed*,Momentum Transfer*,Resilience-Forged*,Carminica*,Gloves of the Taken King*,,,
Techeun's Regalia Vest,3995603239,"""6917529902944253205""",,Legendary,Chest Armor,seasonpass,Hunter,1800,,10,Vault,true,false,6,20,,14,18,17,22,14,4,89,2,16,15,20,12,2,67,Aeons - ,high total,Queen's Favor*,Mobility Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Gambit Jadestone*,Unyielding Favor Vest*,,,,
Techeun's Regalia Mask,2598029856,"""6917529902944259881""",junk,Legendary,Helmet,seasonpass,Hunter,1800,,10,Vault,false,false,6,20,,17,22,4,26,8,4,81,10,20,2,24,6,2,64,,high resilience + high discipline,Queen's Favor*,Minor Mobility Mod*,Arc Siphon*,Ashes to Assets*,Special Ammo Finder*,Iron Vendetta*,Mask of the Taken King*,,,,
Techeun's Regalia Strides,4290220099,"""6917529902950521496""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Hunter(1824),true,false,6,20,,9,28,12,28,8,4,89,7,16,10,26,6,2,67,"Sixth Coyote - , Aeons - ",high total,Queen's Favor*,Resilience Mod*,Insulation*,Recuperation*,Stacks on Stacks*,Erebos Glance*,Unyielding Favor Strides*,,,,
Techeun's Regalia Strides,4290220099,"""6917529902959294402""",,Legendary,Leg Armor,seasonpass,Hunter,1800,,10,Vault,false,false,6,20,,4,9,25,22,12,4,76,2,7,23,20,10,2,64,Gyrfalcon's Hauberk - ,high recovery + high discipline,Queen's Favor*,,,,,,,,,,
Techeun's Regalia Grips,164103153,"""6917529902959295748""",,Legendary,Gauntlets,seasonpass,Hunter,1800,,10,Vault,false,false,6,20,,28,4,4,28,4,8,76,26,2,2,26,2,6,64,,high mobility + high discipline,Queen's Favor*,Erebos Glance*,,,,,,,,,
Strides of the Great Hunt,2298096557,"""6917529903077333563""",,Legendary,Leg Armor,lastwish,Hunter,1800,,9,Vault,true,false,4,12,,2,15,15,16,16,2,66,2,15,15,16,16,2,66,,high total,,,,,,,,,,,
Vest of the Great Hunt,2180477077,"""6917529903256953257""",,Legendary,Chest Armor,lastwish,Hunter,1800,,9,Vault,true,false,4,12,,2,21,8,21,9,2,63,2,21,8,21,9,2,63,,"#raid, high resilience + high discipline",Erebos Glance*,,,,,,,,,,
Mask of the Great Hunt,3423279826,"""6917529903273905315""",,Legendary,Helmet,lastwish,Hunter,1800,,10,Vault,true,false,4,12,,4,18,17,27,8,4,78,2,16,15,25,6,2,66,,high total,,,,,,,,,,,
Grasps of the Taken King,409820272,"""6917529905449389175""",infuse,Legendary,Gauntlets,dungeon,Hunter,1810,,1,Vault,false,false,6,21,,7,22,2,13,9,8,61,7,22,2,13,9,8,61,,,,,,,,,,,,,
Cadmus Ridge Lancecap,3574051505,"""6917529905906532266""",,Exotic,Helmet,lostsectors,Titan,1806,,10,Titan(1823),true,false,6,20,,4,17,17,17,4,18,77,2,15,15,15,2,16,65,,"#stasis, could be good in #endgame #pve if stasis gets a buff",Lancer's Vigil*,Sinking Feeling*,Chivalry's Chill*,,,,,,,,
"NPA ""Weir-Walker"" Visor",1063769568,"""6917529906621439002""",junk,Legendary,Helmet,seasonpass,Warlock,1800,,10,Vault,false,false,6,21,,4,23,12,35,4,10,88,2,21,10,23,2,8,66,,high resilience + high discipline,Sonar Amplifier*,Discipline Mod*,Harmonic Siphon*,Ashes to Assets*,Heavy Ammo Finder*,Erebos Glance*,Dragonfly Regalia Mandible*,,,,
Vest of the Taken King,42941848,"""6917529907901933534""",infuse,Legendary,Chest Armor,dungeon,Hunter,1810,,9,Vault,false,false,6,21,,7,14,9,21,10,2,63,7,14,9,21,10,2,63,,,,,,,,,,,,,
Icefall Mantle,1467044898,"""6917529909801699757""",,Exotic,Gauntlets,lostsectors,Titan,1807,,9,Vault,false,false,4,12,,8,22,2,20,6,7,65,8,22,2,20,6,7,65,,high resilience + high discipline,Glacial Guard*,Skele-Ghaul*,,,,,,,,,
Helm of the Taken King,2324998093,"""6917529909959495384""",infuse,Legendary,Helmet,dungeon,Titan,1810,,1,Vault,false,false,6,21,,2,27,2,2,6,22,61,2,27,2,2,6,22,61,,,,,,,,,,,,,
Kairos Function Helm,4182737364,"""6917529910540275998""",,Legendary,Helmet,,Titan,1600,,10,Vault,true,false,4,15,,4,8,27,22,14,4,79,2,6,25,20,12,2,67,,high recovery + high discipline,,,,,,,,,,,
Kairos Function Plate,479000083,"""6917529910540280233""",,Legendary,Chest Armor,,Titan,1600,,10,Vault,true,false,4,15,,4,8,27,21,4,14,78,2,6,25,19,2,12,66,,high recovery + high discipline,Erebos Glance*,Phenotype Plasticity Plate*,,,,,,,,,
Vestment of the Taken King,837865641,"""6917529910961786912""",,Legendary,Chest Armor,dungeon,Warlock,1800,,9,Vault,false,false,6,21,,2,14,14,20,10,2,62,2,14,14,20,10,2,62, - PvP Stag - ,"high total, #pvp",Artifice Armor*,Photo Finish*,,,,,,,,,
Legacy's Oath Plate,751162931,"""6917529911199648210""",infuse,Legendary,Chest Armor,deepstonecrypt,Titan,1810,,2,Vault,false,false,4,12,,12,16,6,9,15,7,65,12,16,6,9,15,7,65,,,,,,,,,,,,,
Severance Enclosure,2326396534,"""6917529911281891337""",,Exotic,Chest Armor,,Titan,1800,,10,Titan(1823),true,false,3,9,,12,19,8,22,12,9,82,10,17,6,15,10,7,65,"Severance Enclosure - , Void","Technically #neutral, but volatile on #void explosions makes this a good choice for #casual #pve",Spheromatik Trigger*,Minor Discipline Mod*,Charged Up*,Concussive Dampener*,Melee Damage Resistance*,Atmospheric Glow*,,,,,
Fallen Sunstar,1849149215,"""6917529912356905991""",,Exotic,Helmet,lostsectors,Warlock,1810,,9,Vault,true,false,5,18,,2,10,25,11,18,2,68,2,10,20,11,18,2,63, - Fallen Sunstar - ,"#casual #pve, #arc",Ionic Conductor*,Minor Recovery Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Heavy Ammo Finder*,Iron Ruby*,,,,,
Lost Pacific Vest,1833326563,"""6917529913144456329""",,Legendary,Chest Armor,,Hunter,1600,,9,Vault,false,false,4,15,,2,11,18,20,12,2,65,2,11,18,20,12,2,65,,high total,,,,,,,,,,,
Vesper of Radius,1725917554,"""6917529917171322585""",,Exotic,Chest Armor,,Warlock,1810,,10,Warlock(1824),true,false,1,2,,9,11,26,21,4,14,85,7,9,19,19,2,12,68,"Vesper of Radius - , Arc","#arc, #casual #pve, #pvp, interacts well with #stasis rift",Planetary Torrent*,Minor Recovery Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Arctic Pearl*,Transcendent Geometry*,,,,
One-Eyed Mask,2578771006,"""6917529918104318636""",,Exotic,Helmet,,Titan,1810,,2,Vault,false,false,2,4,,6,16,11,15,15,2,65,6,16,11,15,15,2,65,,#pvp,Vengeance*,Carminica*,,,,,,,,,
Mark of the Taken King,3722748537,"""6917529918760462147""",infuse,Legendary,Titan Mark,dungeon,Titan,1810,,1,Vault,false,false,6,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mask of the Quiet One,3883866764,"""6917529918996956547""",infuse,Exotic,Helmet,,Titan,1810,,2,Vault,false,false,1,1,,2,16,14,6,2,25,65,2,16,14,6,2,25,65,,,Dreaded Visage*,,,,,,,,,,
Vest of the Taken King,51786498,"""6917529919877243369""",,Legendary,Chest Armor,dungeon,Hunter,1810,,10,Hunter(1824),true,false,6,21,,17,22,13,26,4,8,90,2,20,11,24,2,6,65," - PvP - Wormhusk - , Celestial Nighthawk - , Hive, bring a ... boomer?  - , Star Eater Scales - , Foetracer, Assassin's Cowl - , Dungeon, Solar",high total,Artifice Armor*,Mobility Mod*,Unflinching Harmonic Aim*,Unflinching Harmonic Aim*,Unflinching Arc Aim*,Mobility-Forged*,Highlander*,Streetwise Vest*,,,
Mask of the Taken King,2820604007,"""6917529919877244604""",infuse,Legendary,Helmet,dungeon,Hunter,1810,,2,Vault,false,false,6,21,,10,19,2,16,2,12,61,10,19,2,16,2,12,61,,,Artifice Armor*,,,,,,,,,,
Sunlit Mark,3386596901,"""6917529921608094814""",infuse,Legendary,Titan Mark,events,Titan,1810,,1,Vault,false,false,6,21,Solstice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Erebos Glance*,,,,,,,,,,
Sunlit Greaves,3633213242,"""6917529921608098402""",infuse,Legendary,Leg Armor,events,Titan,1810,,1,Vault,false,false,6,21,Solstice,6,13,6,7,12,9,53,6,13,6,7,12,9,53,,,Erebos Glance*,,,,,,,,,,
Techeun's Regalia Helmet,1089162050,"""6917529921671863118""",,Legendary,Helmet,seasonpass,Titan,1800,,10,Vault,true,false,6,20,,4,23,11,25,10,4,77,2,21,9,23,8,2,65,,high total,Queen's Favor*,,,,,,,,,,
Anti-Extinction Gauntlets,2862198970,"""6917529923737193755""",junk,Legendary,Gauntlets,do,Titan,1600,,10,Vault,false,false,3,10,,12,4,21,32,4,4,77,10,2,19,30,2,2,65,,high recovery + high discipine,,,,,,,,,,,
Mask of the Quiet One,3883866764,"""6917529924336875363""",,Exotic,Helmet,,Titan,1810,,10,Titan(1823),false,false,1,1,,4,18,19,19,8,12,80,2,16,17,17,6,10,68,,"#neutral #pve, probably best for a subclass that has less intrinsic healing",Dreaded Visage*,Erebos Glance*,Thanatonaut's Peril*,,,,,,,,
Mk. 44 Stand Asides,136355432,"""6917529924470521202""",infuse,Exotic,Leg Armor,,Titan,1810,,1,Vault,false,false,1,2,,7,27,2,2,7,24,69,7,27,2,2,7,24,69,,,"Seriously, Watch Out*",,,,,,,,,,
Abeyant Leap,3637722482,"""6917529924528295365""",,Exotic,Leg Armor,lostsectors,Titan,1800,,9,Vault,true,false,6,20,,2,17,14,16,16,2,67,2,17,14,16,16,2,67,,"#endgame #pve, #strand, #mw #replace",Puppeteer's Control*,,,,,,,,,,
Crest of Alpha Lupi,1591207519,"""6917529924539221852""",infuse,Exotic,Chest Armor,,Titan,1810,,1,Vault,false,false,1,1,,7,15,11,16,6,12,67,7,15,11,16,6,12,67,,"#pvp, maybe #endgame #pve for healing pulse on barricade, but I feel like powerful attraction with recuperation >",Survival Well*,Carbon Blood*,,,,,,,,,
Ursa Furiosa,1848640623,"""6917529926186449643""",,Exotic,Gauntlets,,Titan,1810,,9,Vault,false,false,2,4,,2,18,16,14,14,2,66,2,18,16,14,14,2,66,,"#endgame #pve, #replace #mw version",Ursine Guard*,,,,,,,,,,
Arbor Warden,90009855,"""6917529928952219356""",,Exotic,Chest Armor,lostsectors,Titan,1810,,9,Vault,true,false,6,21,,2,23,7,24,7,2,65,2,23,7,24,7,2,65,,"An interesting exotic, but I feel like its only use would be in #pvp, or #pve on #void (support) or #strand (suspend)",Barri-nade*,Basalt Toxic*,,,,,,,,,
Briarbinds,3234692237,"""6917529929015901663""",,Exotic,Gauntlets,lostsectors,Warlock,1810,,9,Vault,false,false,6,22,,2,20,10,10,10,11,63,2,20,10,10,10,11,63,,#void #pve,One with the Void*,,,,,,,,,,
The Sixth Coyote,1474735277,"""6917529929638334592""",,Exotic,Chest Armor,,Hunter,1800,,10,Hunter(1824),true,false,2,4,,18,13,15,16,8,14,84,11,11,13,14,6,12,67,Sixth Coyote - ,a #neutral exotic that only has room in #pve on a #strand subclass,Double Dodge*,Minor Mobility Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Skele-Ghaul*,,,,,
Fr0st-EE5,609852545,"""6917529929865490928""",,Exotic,Leg Armor,,Hunter,1810,,10,Hunter(1824),false,false,1,3,,16,22,4,21,14,4,81,14,20,2,19,12,2,69, - Frostees - ,"#neutral, #casual #pve, #pvp",Rapid Cooldown*,Night's Chill*,Eight-Thousander*,,,,,,,,
Orpheus Rig,193869523,"""6917529929865490974""",infuse,Exotic,Leg Armor,,Hunter,1810,,4,Vault,false,false,1,1,,18,2,16,14,11,6,67,18,2,16,14,11,6,67,,,Uncanny Arrows*,,,,,,,,,,
Mothkeeper's Wraps,3534173884,"""6917529930037267950""",,Exotic,Gauntlets,lostsectors,Hunter,1810,,10,Hunter(1824),true,false,6,22,,28,12,9,18,16,4,87,16,10,7,16,14,2,65,"Hive, bring a ... boomer?  - ","#neutral #casual #pve, this exotic is so fun with the hive boomer",Winged Eclipse*,Mobility Mod*,Heavy Handed*,Fastball*,Firepower*,Atmospheric Glow*,,,,,
Liar's Handshake,4165919945,"""6917529930097201444""",,Exotic,Gauntlets,,Hunter,1810,,2,Vault,false,false,2,6,,8,15,12,14,16,2,67,8,15,12,14,16,2,67,,#casual #arc #pve,Cross Counter*,Skele-Ghaul*,Thalia's Reach*,,,,,,,,
Pyrogale Gauntlets,2066430310,"""6917529930570865285""",,Exotic,Gauntlets,lostsectors,Titan,1810,,4,Vault,false,false,6,22,,10,19,2,16,10,7,64,10,19,2,16,10,7,64,,#casual #solar #pve,Percussive Flames*,Erebos Glance*,,,,,,,,,
Skybreaker Robes,2443507405,"""6917529930593713428""",infuse,Legendary,Chest Armor,trials,Warlock,1810,,1,Vault,false,false,6,22,,9,20,2,8,2,20,61,9,20,2,8,2,20,61,,,,,,,,,,,,,
Triton Vice,3093309525,"""6917529931669975065""",,Exotic,Gauntlets,lostsectors,Hunter,1810,,3,Vault,false,false,6,21,,7,6,18,19,2,12,64,7,6,18,19,2,12,64,,"#casual #pve, #neutral, glaive dragonfly and graverobber? idk",Halberdier's Reach*,,,,,,,,,,
Warmind's Avatar Mask,648266032,"""6917529933042563754""",,Legendary,Helmet,rasputin,Hunter,1810,,10,Vault,false,false,5,19,,4,24,12,21,10,8,79,2,22,10,19,8,6,67,,"#pve, high total",Seraph Sensor Array*,,,,,,,,,,
Warmind's Avatar Vest,4116381015,"""6917529933055633977""",,Legendary,Chest Armor,rasputin,Hunter,1810,,10,Vault,false,false,5,19,,4,32,4,24,8,8,80,2,30,2,22,6,6,68,,high resilience + high discipline,Seraph Sensor Array*,,,,,,,,,,
Mark of the Pit,2401746614,"""6917529934223129516""",,Legendary,Titan Mark,crota,Titan,1810,,2,Titan(1823),false,false,6,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#raid,Lion's Pride*,,,,,,,,,,
Cenotaph Mask,2374129871,"""6917529934968569392""",,Exotic,Helmet,lostsectors,Warlock,1810,,10,Warlock(1824),true,false,6,21,,4,16,21,24,8,8,81,2,14,14,22,6,6,64,"Xenomorph - , Raid",#endgame #pve,High Priority*,Minor Recovery Mod*,Special Ammo Scout*,Arc Siphon*,Heavy Ammo Finder*,Envious Touch*,,,,,
Point-Contact Cannon Brace,1703598057,"""6917529935248800454""",,Exotic,Gauntlets,lostsectors,Titan,1800,,10,Titan(1823),true,false,5,18,,4,22,12,9,4,31,82,2,20,10,7,2,24,65,"Point Contact Cannon Brace - , Dungeon","#casual/#endgame #pve, #arc",Hammer of the Gods*,Minor Strength Mod*,Firepower*,Heavy Handed*,Melee Kickstart*,Erebos Glance*,Anchorage*,,,,
Mask of Bakris,1619425569,"""6917529936301657365""",,Exotic,Helmet,lostsectors,Hunter,1810,,10,Vault,false,false,4,12,,17,4,15,22,12,4,74,15,2,13,20,10,2,62,,#pvp #stasis,Light Shift*,Basalt Toxic*,Beastly Visage*,,,,,,,,
Gyrfalcon's Hauberk,461841403,"""6917529937099281097""",,Exotic,Chest Armor,lostsectors,Hunter,1810,,9,Vault,false,false,5,18,,12,6,16,29,2,2,67,12,6,16,29,2,2,67,,"#endgame #pve, #void, #replace #mw version","See Me, Feel Me*",,,,,,,,,,
The Sixth Coyote,1474735277,"""6917529937544464675""",infuse,Exotic,Chest Armor,,Hunter,1810,,3,Vault,false,false,2,4,,13,3,15,14,2,16,63,13,3,15,14,2,16,63,,,Double Dodge*,,,,,,,,,,
Resonant Fury Boots,2748020989,"""6917529938679330506""",archive,Legendary,Leg Armor,votd,Warlock,1800,,9,Vault,true,false,5,16,,2,19,9,23,2,6,61,2,19,9,23,2,6,61,,"#raid, high total, #replace other raid boots",Skele-Ghaul*,,,,,,,,,,
Omnioculus,1935198785,"""6917529939330095993""",infuse,Exotic,Chest Armor,lostsectors,Hunter,1810,,4,Vault,false,false,4,13,,2,16,16,14,10,7,65,2,16,16,14,10,7,65,,,Beyond The Veil*,,,,,,,,,,
Willbreaker's Greaves,3020524483,"""6917529939795663872""",infuse,Legendary,Leg Armor,crota,Titan,1810,,4,Vault,false,false,6,22,,2,23,6,12,14,2,59,2,23,6,12,14,2,59,,,,,,,,,,,,,
Wild Hunt Vest,1458739906,"""6917529940968424741""",,Legendary,Chest Armor,seasonpass,Hunter,1600,,10,Vault,false,false,4,12,,19,4,16,24,12,4,79,17,2,14,22,10,2,67,,high total,,,,,,,,,,,
Radiant Dance Machines,1702288800,"""6917529941189324446""",infuse,Exotic,Leg Armor,lostsectors,Hunter,1810,,2,Vault,false,false,4,15,,2,24,7,17,6,10,66,2,24,7,17,6,10,66,,"#pve #dps. You can fire like 5 rockets in a row, and if any kill anything, you can fire more",The Dance*,,,,,,,,,,
Deathsinger's Gaze,1964816829,"""6917529941414551524""",infuse,Legendary,Helmet,crota,Warlock,1810,,2,Vault,false,false,6,22,,14,13,2,23,2,6,60,14,13,2,23,2,6,60,,,,,,,,,,,,,
Knucklehead Radar,1321354572,"""6917529941701721410""",,Exotic,Helmet,,Hunter,1810,,9,Vault,false,false,1,1,,17,7,12,16,6,12,70,17,7,12,16,6,12,70,,#pvp,Upgraded Sensor Pack*,Erebos Glance*,,,,,,,,,
Graviton Forfeit,2773056939,"""6917529941708050906""",,Exotic,Helmet,,Hunter,1810,,10,Hunter(1824),true,true,1,2,,36,4,10,26,9,4,89,24,2,8,24,7,2,67,"Graviton Forfeit - , Nightfall","#endgame #pve, #void, #replace #mw version",Vanishing Shadow*,Mobility Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Special Ammo Finder*,Luminous Void*,Rigel Crossroads*,,,,
Deathsinger's Grip,427348780,"""6917529941744380191""",,Legendary,Gauntlets,crota,Warlock,1810,,10,Vault,true,false,6,22,,4,19,14,26,8,4,75,2,17,12,24,6,2,63,,"#raid/#pve, high total",Firepower*,Impact Induction*,Heavy Handed*,Stoic When Panicked*,,,,,,,
Veiled Tithes Greaves,2817251955,"""6917529942488584226""",,Legendary,Leg Armor,seasonpass,Titan,1800,,10,Vault,true,false,6,22,,4,8,25,28,8,4,77,2,6,23,26,6,2,65,,high recovery + high discipline,Exhumed Excess*,,,,,,,,,,
Veiled Tithes Plate,2953343703,"""6917529942488584474""",,Legendary,Chest Armor,seasonpass,Titan,1800,,2,Vault,false,false,6,22,,2,7,23,21,2,9,64,2,7,23,21,2,9,64,,high recovery + high discipline,Exhumed Excess*,,,,,,,,,,
Techeun's Regalia Gauntlets,428806571,"""6917529942488587864""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,true,false,6,20,,4,23,11,30,4,4,76,2,21,9,28,2,2,64,,high total,Queen's Favor*,Valkyrie Zero*,,,,,,,,,
Veiled Tithes Greaves,2817251955,"""6917529942488588793""",,Legendary,Leg Armor,seasonpass,Titan,1800,,10,Vault,true,false,6,22,,4,28,8,28,8,4,80,2,26,6,26,6,2,68,,high resilience + high discipline,Exhumed Excess*,Valkyrie Zero*,,,,,,,,,
Techeun's Regalia Gauntlets,428806571,"""6917529942488589531""",,Legendary,Gauntlets,seasonpass,Titan,1800,,2,Vault,false,false,6,20,,2,7,23,23,2,8,65,2,7,23,23,2,8,65,,high recovery + high discipline,Queen's Favor*,,,,,,,,,,
"NPA ""Weir-Walker"" Gauntlets",431605328,"""6917529942495003484""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,true,false,6,21,,4,4,32,30,4,4,78,2,2,30,28,2,2,66,,"high recovery + high discipline, # mw",Sonar Amplifier*,,,,,,,,,,
"NPA ""Weir-Walker"" Gauntlets",431605328,"""6917529942495004261""",,Legendary,Gauntlets,seasonpass,Titan,1800,,10,Vault,false,false,6,21,,4,14,18,28,4,4,72,2,12,16,26,2,2,60,,high total,Sonar Amplifier*,Photo Finish*,,,,,,,,,
Young Ahamkara's Spine,475652357,"""6917529943394658107""",infuse,Exotic,Gauntlets,,Hunter,1810,,3,Vault,false,false,1,1,,10,7,18,13,18,2,68,10,7,18,13,18,2,68,,,Wish-Dragon Teeth*,,,,,,,,,,
Icefall Mantle,1467044898,"""6917529943576664996""",infuse,Exotic,Gauntlets,lostsectors,Titan,1810,,1,Vault,false,false,4,12,,10,22,2,10,10,10,64,10,22,2,10,10,10,64,,,Glacial Guard*,,,,,,,,,,
